"Country.Region";"population";"PopulationUN";"continent";"subcontinent";"Pop_0-4";"Pop_5-9";"Pop_10-14";"Pop_15-19";"Pop_20-24";"Pop_25-29";"Pop_30-34";"Pop_35-39";"Pop_40-44";"Pop_45-49";"Pop_50-54";"Pop_55-59";"Pop_60-64";"Pop_65-69";"Pop_70-74";"Pop_75-79";"Pop_80-84";"Pop_85-89";"Pop_90-94";"Pop_95-99";"100+";"Density_per_km2";"Deaths"
"New Zealand";4968679;4834000;"Oceania";"Oceania";301;314;322;303;324;347;324;295;278;313;312;317;282;240;214;148;97;55;27;6;1;18.3;165000
"Ireland";4921500;4888000;"Europe";"Channel Islands";314;358;357;312;290;278;311;385;396;368;312;289;250;231;197;134;88;46;18;5;1;71.7;145000
"Oman";4664790;5150000;"Asia";"Western Asia";454;379;316;215;329;756;868;572;400;285;182;134;90;53;28;25;13;6;2;1;0;16.5;57000
"Liberia";4475353;5104000;"Africa";"Western Africa";740;678;623;552;463;378;334;296;245;199;158;126;97;71;45;31;15;5;1;0;0;52.5;181000
"Kuwait";4420110;4303000;"Asia";"Western Asia";290;319;308;225;207;238;366;512;515;451;347;214;149;71;32;16;8;2;0;0;0;239.6;54000
"Panama";4218808;4289000;"Latin America and the Caribbean";"South America";389;384;369;357;349;329;317;301;288;268;235;198;160;123;92;66;44;26;12;4;1;58;105000
"Mauritania";4077347;4784000;"Africa";"Western Africa";690;618;537;470;416;372;334;285;235;188;150;117;89;62;42;26;13;5;1;0;0;4.5;158000
"Croatia";4076246;4116000;"Europe";"Southern Europe";184;202;211;197;236;236;258;282;288;269;281;300;289;276;206;156;134;71;25;4;0;73.4;274000
"Georgia";3723464;3899000;"Asia";"Western Asia";268;285;253;218;233;267;290;275;264;254;246;278;249;211;150;98;96;37;14;2;0;57.4;257000
"Uruguay";3518552;3494000;"South America";"Oceania";237;236;233;246;254;257;240;222;234;221;196;195;179;149;124;96;70;48;25;9;2;19.8;163000
"Eritrea";3497117;5432000;"Africa";"Eastern Africa";495;477;487;374;285;287;269;191;141;140;88;84;68;60;47;30;15;6;2;0;0;35.1;125000
"Mongolia";3306493;3209000;"Asia";"Eastern Asia";375;362;282;219;228;272;309;255;223;200;168;146;98;61;36;24;13;6;2;0;0;2.1;99000
"Bosnia and Herz.";3301000;3498000;"Europe";"Southern Europe";133;162;181;165;216;187;216;242;221;227;231;269;242;222;143;99;85;25;11;2;0;64.3;178000
"Puerto Rico(US)";3193694;3651000;"Latin America and the Caribbean";"Caribbean";84;156;210;184;143;145;157;175;196;203;212;202;196;165;158;116;78;47;22;8;2;322.5;146000
"Armenia";2957500;2939000;"Asia";"Western Asia";205;214;198;170;176;232;267;237;191;162;163;199;197;131;84;42;59;22;9;1;0;104.1;146000
"Albania";2862427;2942000;"Europe";"Southern Europe";166;168;162;200;228;244;224;167;153;171;184;202;186;144;108;87;54;23;7;1;0;105;113000
"Lithuania";2793350;2852000;"Europe";"Channel Islands";145;156;121;122;134;183;186;151;161;195;185;236;187;166;108;115;83;56;26;6;1;43.4;192000
"Qatar";2747282;2792000;"Asia";"Western Asia";135;135;122;106;237;480;495;351;255;207;156;99;54;28;13;4;2;1;1;0;0;248.2;16000
"Jamaica";2726667;2913000;"Latin America and the Caribbean";"Caribbean";231;234;227;240;261;254;232;211;179;179;171;149;124;90;71;49;32;18;7;1;0;273.4;111000
"Moldova";2681735;4018000;"Europe";"Eastern Europe";203;222;217;202;241;330;418;356;302;261;234;287;258;230;105;80;53;26;8;1;0;122.8;235000
"Namibia";2458936;2697000;"Africa";"Southern Africa";336;318;282;245;244;228;197;159;131;107;82;68;51;36;24;17;9;4;1;0;0;3.1;1e+05
"Gambia";2347706;2293000;"Africa";"Western Africa";410;353;300;257;228;201;160;123;98;76;66;50;34;25;19;11;5;1;0;0;0;238.8;90000
"Botswana";2338851;2416000;"Africa";"Southern Africa";272;267;247;226;204;199;187;178;149;112;80;66;59;45;30;19;8;3;1;0;0;4.1;65000
"Gabon";2172579;2151000;"Africa";"Middle Africa";320;280;229;193;179;188;189;161;129;103;79;55;41;31;22;15;8;3;0;0;0;8.6;72000
"Slovenia";2094060;2082000;"Europe";"Southern Europe";101;109;105;92;96;109;134;150;158;147;151;150;146;139;98;80;59;37;14;3;0;103.2;103000
